Name,FIPS,"# Computers In Household | Households, 2021 [Estimated]"
"Benton County, MN",27009,16701
"Benton County, MO",29015,7714
"Benton County, MS",28009,3154
"Benton County, OR",41003,36244
"Benton County, TN",47005,6740
"Benton County, WA",53005,74042
"Benzie County, MI",26019,6441
"Bergen County, NJ",34003,338396
"Berkeley County, SC",45015,80586
"Berkeley County, WV",54003,45363
"Berks County, PA",42011,154758
"Berkshire County, MA",25003,54432
"Bernalillo County, NM",35001,267745
"Berrien County, GA",13019,7587
"Berrien County, MI",26021,64904
"Bertie County, NC",37015,8185
"Bethel Census Area, AK",2050,4521
"Bexar County, TX",48029,640081
"Bibb County, AL",1007,6747
"Bibb County, GA",13021,58045
"Bienville Parish, LA",22013,5830
"Big Horn County, MT",30003,3598
"Big Horn County, WY",56003,4478
"Big Stone County, MN",27011,2296
"Billings County, ND",38007,369
"Bingham County, ID",16011,14976
"Black Hawk County, IA",19013,52967
"Blackford County, IN",18009,5194
"Bladen County, NC",37017,13365
"Blaine County, ID",16013,7463
"Blaine County, MT",30005,2421
"Blaine County, NE",31009,201
"Blaine County, OK",40011,4096
"Blair County, PA",42013,52090
"Blanco County, TX",48031,4408
"Bland County, VA",51021,2311
"Bleckley County, GA",13023,4220
"Bledsoe County, TN",47007,5085
"Blount County, AL",1009,20631
"Blount County, TN",47009,51191
"Blue Earth County, MN",27013,26641
"Boise County, ID",16015,3288
"Bolivar County, MS",28011,11896
"Bollinger County, MO",29017,4537
"Bon Homme County, SD",46009,2551
"Bond County, IL",17005,6343
"Bonner County, ID",16017,17821
"Bonneville County, ID",16019,40994
"Boone County, AR",5009,14943
"Boone County, IA",19015,10990
"Boone County, IL",17007,18782
"Boone County, IN",18011,26591
"Boone County, KY",21015,47688
"Boone County, MO",29019,72391
"Boone County, NE",31011,2347
"Boone County, WV",54005,8652
"Borden County, TX",48033,225
"Bosque County, TX",48035,7243
"Bossier Parish, LA",22015,50446
"Botetourt County, VA",51023,13381
"Bottineau County, ND",38009,3016
"Boulder County, CO",8013,129188
"Boundary County, ID",16021,4837
"Bourbon County, KS",20011,5653
"Bourbon County, KY",21017,8109
"Bowie County, TX",48037,33855
"Bowman County, ND",38011,1365
"Box Butte County, NE",31013,4681
"Box Elder County, UT",49003,18013
"Boyd County, KY",21019,17762
"Boyd County, NE",31015,883
"Boyle County, KY",21021,10947
"Bracken County, KY",21023,3359
"Bradford County, FL",12007,9265
"Bradford County, PA",42015,25271
"Bradley County, AR",5011,4379
"Bradley County, TN",47011,40745
"Branch County, MI",26023,16890
"Brantley County, GA",13025,6841
"Braxton County, WV",54007,5540
"Brazoria County, TX",48039,125185
"Brazos County, TX",48041,82402
"Breathitt County, KY",21025,5257
"Breckinridge County, KY",21027,7827
"Bremer County, IA",19017,9760
"Brevard County, FL",12009,233299
"Brewster County, TX",48043,4019
"Briscoe County, TX",48045,569
"Bristol Bay Borough, AK",2060,287
"Bristol County, MA",25005,219337
"Bristol County, RI",44001,19257
"Bristol city, VA",51520,7064
"Broadwater County, MT",30007,2355
"Bronx County, NY",36005,508357
"Brooke County, WV",54009,9730
"Brookings County, SD",46011,13157
"Brooks County, GA",13027,6151
"Brooks County, TX",48047,2098
"Broome County, NY",36007,77830
"Broomfield County, CO",8014,29386
"Broward County, FL",12011,693322
"Brown County, IL",17009,2006
"Brown County, IN",18013,6195
"Brown County, KS",20013,3742
"Brown County, MN",27015,10709
"Brown County, NE",31017,1336
"Brown County, OH",39015,18205
"Brown County, SD",46013,16326
"Brown County, TX",48049,14834
"Brown County, WI",55009,106534
"Brule County, SD",46015,2338
"Brunswick County, NC",37019,59538
"Brunswick County, VA",51025,6083
"Bryan County, GA",13029,13831
"Bryan County, OK",40013,17581
"Buchanan County, IA",19019,7860
"Buchanan County, MO",29021,33517
"Buchanan County, VA",51027,8187
"Buckingham County, VA",51029,5959
"Bucks County, PA",42017,239960
"Buena Vista County, IA",19021,7477
"Buena Vista city, VA",51530,2410
"Buffalo County, NE",31019,19463
"Buffalo County, SD",46017,581
"Buffalo County, WI",55011,5735
"Bullitt County, KY",21029,30270
"Bulloch County, GA",13031,27761
"Bullock County, AL",1011,3496
"Buncombe County, NC",37021,110812
"Bureau County, IL",17011,13508
"Burke County, GA",13033,8232
"Burke County, NC",37023,35423
"Burke County, ND",38013,832
"Burleigh County, ND",38015,41039
"Burleson County, TX",48051,7051
"Burlington County, NJ",34005,165883
"Burnet County, TX",48053,16713
"Burnett County, WI",55013,7288
"Burt County, NE",31021,2937
"Butler County, AL",1013,5564
"Butler County, IA",19023,6275
"Butler County, KS",20015,24740
"Butler County, KY",21031,4827
"Butler County, MO",29023,16047
"Butler County, NE",31023,3226
"Butler County, OH",39017,140382
"Butler County, PA",42019,77331
"Butte County, CA",6007,85462
"Butte County, ID",16023,988
"Butte County, SD",46019,4154
"Butts County, GA",13035,8387
"Cabarrus County, NC",37025,75311
"Cabell County, WV",54011,38708
"Cabo Rojo Municipio, PR",72023,14457
"Cache County, UT",49005,39458
"Caddo County, OK",40015,10269
"Caddo Parish, LA",22017,94387
"Caguas Municipio, PR",72025,46858
"Calaveras County, CA",6009,16523
"Calcasieu Parish, LA",22019,78657
"Caldwell County, KY",21033,5070
"Caldwell County, MO",29025,3580
"Caldwell County, NC",37027,33108
"Caldwell County, TX",48055,13936
"Caldwell Parish, LA",22021,3566
"Caledonia County, VT",50005,12376
"Calhoun County, AL",1015,44391
"Calhoun County, AR",5013,1730
"Calhoun County, FL",12013,4364
"Calhoun County, GA",13037,1745
"Calhoun County, IA",19025,4097
"Calhoun County, IL",17013,1497
"Calhoun County, MI",26025,54230
"Calhoun County, MS",28013,5774
"Calhoun County, SC",45017,6229
"Calhoun County, TX",48057,7327
"Calhoun County, WV",54013,2667
"Callahan County, TX",48059,5401
"Callaway County, MO",29027,15758
"Calloway County, KY",21035,14808
"Calumet County, WI",55015,20311
"Calvert County, MD",24009,32208
"Camas County, ID",16025,345
"Cambria County, PA",42021,56059
"Camden County, GA",13039,19739
"Camden County, MO",29029,15591
"Camden County, NC",37029,3930
"Camden County, NJ",34007,186425
"Cameron County, PA",42023,2220
"Cameron County, TX",48061,125413
"Cameron Parish, LA",22023,2804
"Camp County, TX",48063,4743
"Campbell County, KY",21037,36813
"Campbell County, SD",46021,658
"Campbell County, TN",47013,16204
"Campbell County, VA",51031,23631
"Campbell County, WY",56005,17559
"Camuy Municipio, PR",72027,11035
"Canadian County, OK",40017,45694
"Candler County, GA",13043,4050
"Cannon County, TN",47015,5507
"Canyon County, ID",16027,75423
"Canóvanas Municipio, PR",72029,14497
"Cape Girardeau County, MO",29031,29216
"Cape May County, NJ",34009,39711
"Carbon County, MT",30009,4586
"Carbon County, PA",42025,25945
"Carbon County, UT",49007,7802
"Carbon County, WY",56007,6341
"Caribou County, ID",16029,2538
"Carlisle County, KY",21039,1935
"Carlton County, MN",27017,13603
"Carolina Municipio, PR",72031,61095
"Caroline County, MD",24011,12096
"Caroline County, VA",51033,10860
"Carroll County, AR",5015,11114
"Carroll County, GA",13045,42510
"Carroll County, IA",19027,8733
"Carroll County, IL",17015,6376
"Carroll County, IN",18015,8039
"Carroll County, KY",21041,4078
"Carroll County, MD",24013,60761
"Carroll County, MO",29033,3436
"Carroll County, MS",28015,3785
"Carroll County, NH",33003,21441
"Carroll County, OH",39019,11382
"Carroll County, TN",47017,10866
"Carroll County, VA",51035,12207
"Carson City, NV",32510,22984
"Carson County, TX",48065,2253
"Carter County, KY",21043,9249
"Carter County, MO",29035,2263
"Carter County, MT",30011,705
"Carter County, OK",40019,18645
"Carter County, TN",47019,23547
"Carteret County, NC",37031,29887
"Carver County, MN",27019,37508
"Cascade County, MT",30013,34467
"Casey County, KY",21045,6019
"Cass County, IA",19029,5800
"Cass County, IL",17017,4916
"Cass County, IN",18017,14770
"Cass County, MI",26027,21354
"Cass County, MN",27021,13272
"Cass County, MO",29037,40594
"Cass County, ND",38017,79172
"Cass County, NE",31025,10057
"Cass County, TX",48067,11954
"Cassia County, ID",16031,7786
"Castro County, TX",48069,2505
"Caswell County, NC",37033,9373
"Catahoula Parish, LA",22025,3271
"Catawba County, NC",37035,63293
"Cataño Municipio, PR",72033,8324
"Catoosa County, GA",13047,25087
"Catron County, NM",35003,1322
"Cattaraugus County, NY",36009,31610
"Cavalier County, ND",38019,1728
"Cayey Municipio, PR",72035,15909
"Cayuga County, NY",36011,31254
"Cecil County, MD",24015,37009
"Cedar County, IA",19031,7295
