Name,FIPS,"# Computers In Household | Households, 2021 [Estimated]"
"Duplin County, NC",37061,21332
"Durham County, NC",37063,130214
"Dutchess County, NY",36027,108128
"Duval County, FL",12031,367737
"Duval County, TX",48131,3218
"Dyer County, TN",47045,15238
"Eagle County, CO",8037,18136
"Early County, GA",13099,4113
"East Baton Rouge Parish, LA",22033,161255
"East Carroll Parish, LA",22035,1691
"East Feliciana Parish, LA",22037,6830
"Eastland County, TX",48133,6210
"Eaton County, MI",26045,44572
"Eau Claire County, WI",55035,41280
"Echols County, GA",13101,1661
"Ector County, TX",48135,52944
"Eddy County, ND",38027,1057
"Eddy County, NM",35015,21608
"Edgar County, IL",17045,7461
"Edgecombe County, NC",37065,21328
"Edgefield County, SC",45037,9068
"Edmonson County, KY",21061,5037
"Edmunds County, SD",46045,1525
"Edwards County, IL",17047,2771
"Edwards County, KS",20047,1326
"Edwards County, TX",48137,734
"Effingham County, GA",13103,22483
"Effingham County, IL",17049,13977
"El Dorado County, CA",6017,71404
"El Paso County, CO",8041,260491
"El Paso County, TX",48141,270698
"Elbert County, CO",8039,9635
"Elbert County, GA",13105,7353
"Elk County, KS",20049,1025
"Elk County, PA",42047,14055
"Elkhart County, IN",18039,72506
"Elko County, NV",32007,18074
"Elliott County, KY",21063,2418
"Ellis County, KS",20051,11367
"Ellis County, OK",40045,1551
"Ellis County, TX",48139,59148
"Ellsworth County, KS",20053,2308
"Elmore County, AL",1051,29864
"Elmore County, ID",16039,10827
"Emanuel County, GA",13107,8509
"Emery County, UT",49015,3705
"Emmet County, IA",19063,4011
"Emmet County, MI",26047,14795
"Emmons County, ND",38029,1567
"Emporia city, VA",51595,1861
"Erath County, TX",48143,13089
"Erie County, NY",36029,390489
"Erie County, OH",39043,30559
"Erie County, PA",42049,109692
"Escambia County, AL",1053,12876
"Escambia County, FL",12033,122537
"Esmeralda County, NV",32009,481
"Essex County, MA",25009,295246
"Essex County, NJ",34013,286346
"Essex County, NY",36031,15847
"Essex County, VA",51057,4635
"Essex County, VT",50009,2777
"Estill County, KY",21065,5287
"Etowah County, AL",1055,38057
"Eureka County, NV",32011,763
"Evangeline Parish, LA",22039,12143
"Evans County, GA",13109,4034
"Fairbanks North Star Borough, AK",2090,36989
"Fairfax County, VA",51059,395097
"Fairfax city, VA",51600,8580
"Fairfield County, CT",9001,341944
"Fairfield County, OH",39045,56538
"Fairfield County, SC",45039,9179
"Fajardo Municipio, PR",72053,11904
"Fall River County, SD",46047,2976
"Fallon County, MT",30025,1391
"Falls Church city, VA",51610,5541
"Falls County, TX",48145,5076
"Fannin County, GA",13111,10952
"Fannin County, TX",48147,12506
"Faribault County, MN",27043,5954
"Faulk County, SD",46049,858
"Faulkner County, AR",5045,44996
"Fauquier County, VA",51061,24851
"Fayette County, AL",1057,6750
"Fayette County, GA",13113,40701
"Fayette County, IA",19065,8021
"Fayette County, IL",17051,7641
"Fayette County, IN",18041,9672
"Fayette County, KY",21067,131071
"Fayette County, OH",39047,11752
"Fayette County, PA",42051,55056
"Fayette County, TN",47047,15908
"Fayette County, TX",48149,8776
"Fayette County, WV",54019,17300
"Fentress County, TN",47049,7497
"Fergus County, MT",30027,4972
"Ferry County, WA",53019,3057
"Fillmore County, MN",27045,8646
"Fillmore County, NE",31059,2533
"Finney County, KS",20055,12423
"Fisher County, TX",48151,1597
"Flagler County, FL",12035,44463
"Flathead County, MT",30029,39269
"Fleming County, KY",21069,6005
"Florence County, SC",45041,52099
"Florence County, WI",55037,2013
"Florida Municipio, PR",72054,4209
"Floyd County, GA",13115,35858
"Floyd County, IA",19067,6790
"Floyd County, IN",18043,29175
"Floyd County, KY",21071,14784
"Floyd County, TX",48153,2191
"Floyd County, VA",51063,6641
"Fluvanna County, VA",51065,9879
"Foard County, TX",48155,570
"Fond du Lac County, WI",55039,41618
"Ford County, IL",17053,5828
"Ford County, KS",20057,11362
"Forest County, PA",42053,1560
"Forest County, WI",55041,4155
"Forrest County, MS",28035,28041
"Forsyth County, GA",13117,83281
"Forsyth County, NC",37067,148078
"Fort Bend County, TX",48157,253311
"Foster County, ND",38031,1396
"Fountain County, IN",18045,7009
"Franklin County, AL",1059,10527
"Franklin County, AR",5047,6719
"Franklin County, FL",12037,4432
"Franklin County, GA",13119,8382
"Franklin County, IA",19069,4125
"Franklin County, ID",16041,4409
"Franklin County, IL",17055,16174
"Franklin County, IN",18047,8642
"Franklin County, KS",20059,10171
"Franklin County, KY",21073,20786
"Franklin County, MA",25011,30541
"Franklin County, ME",23007,11802
"Franklin County, MO",29071,41167
"Franklin County, MS",28037,2753
"Franklin County, NC",37069,26143
"Franklin County, NE",31061,1338
"Franklin County, NY",36033,18876
"Franklin County, OH",39049,521672
"Franklin County, PA",42055,61051
"Franklin County, TN",47051,16293
"Franklin County, TX",48159,3643
"Franklin County, VA",51067,22902
"Franklin County, VT",50011,18502
"Franklin County, WA",53021,27553
"Franklin Parish, LA",22041,7508
"Franklin city, VA",51620,3447
"Frederick County, MD",24021,93910
"Frederick County, VA",51069,32143
"Fredericksburg city, VA",51630,11052
"Freeborn County, MN",27047,12883
"Freestone County, TX",48161,6406
"Fremont County, CO",8043,17452
"Fremont County, IA",19071,2970
"Fremont County, ID",16043,4197
"Fremont County, WY",56013,14672
"Fresno County, CA",6019,310528
"Frio County, TX",48163,4408
"Frontier County, NE",31063,1157
"Fulton County, AR",5049,4762
"Fulton County, GA",13121,421318
"Fulton County, IL",17057,13644
"Fulton County, IN",18049,7721
"Fulton County, KY",21075,2381
"Fulton County, NY",36035,22481
"Fulton County, OH",39051,16538
"Fulton County, PA",42057,5970
"Furnas County, NE",31065,2033
"Gadsden County, FL",12039,17293
"Gage County, NE",31067,8831
"Gaines County, TX",48165,5878
"Galax city, VA",51640,2523
"Gallatin County, IL",17059,2229
"Gallatin County, KY",21077,3098
"Gallatin County, MT",30031,46155
"Gallia County, OH",39053,11617
"Galveston County, TX",48167,124308
"Garden County, NE",31069,889
"Garfield County, CO",8045,21632
"Garfield County, MT",30033,444
"Garfield County, NE",31071,868
"Garfield County, OK",40047,23280
"Garfield County, UT",49017,1773
"Garfield County, WA",53023,1021
"Garland County, AR",5051,39767
"Garrard County, KY",21079,6826
"Garrett County, MD",24023,12510
"Garvin County, OK",40049,10379
"Garza County, TX",48169,1607
"Gasconade County, MO",29073,5987
"Gaston County, NC",37071,84734
"Gates County, NC",37073,4660
"Geary County, KS",20061,12698
"Geauga County, OH",39055,35318
"Gem County, ID",16045,6796
"Genesee County, MI",26049,168062
"Genesee County, NY",36037,23474
"Geneva County, AL",1061,10216
"Gentry County, MO",29075,2460
"George County, MS",28039,7481
"Georgetown County, SC",45043,26420
"Gibson County, IN",18051,13405
"Gibson County, TN",47053,19021
"Gila County, AZ",4007,22421
"Gilchrist County, FL",12041,6648
"Giles County, TN",47055,12000
"Giles County, VA",51071,6718
"Gillespie County, TX",48171,10827
"Gilliam County, OR",41021,853
"Gilmer County, GA",13123,12476
"Gilmer County, WV",54021,2537
"Gilpin County, CO",8047,2866
"Glacier County, MT",30035,4115
"Glades County, FL",12043,5057
"Gladwin County, MI",26051,11092
"Glascock County, GA",13125,1093
"Glasscock County, TX",48173,410
"Glenn County, CA",6021,10224
"Gloucester County, NJ",34015,104513
"Gloucester County, VA",51073,14958
"Glynn County, GA",13127,34880
"Gogebic County, MI",26053,6664
"Golden Valley County, MT",30037,360
"Golden Valley County, ND",38033,878
"Goliad County, TX",48175,2596
"Gonzales County, TX",48177,7823
"Goochland County, VA",51075,8626
"Goodhue County, MN",27049,19648
"Gooding County, ID",16047,5534
"Gordon County, GA",13129,20965
"Goshen County, WY",56015,5092
"Gosper County, NE",31073,1009
"Gove County, KS",20063,1229
"Grady County, GA",13131,8973
"Grady County, OK",40051,20023
"Grafton County, NH",33009,34452
"Graham County, AZ",4009,10856
"Graham County, KS",20065,1204
"Graham County, NC",37075,3413
"Grainger County, TN",47057,8998
"Grand County, CO",8049,6212
"Grand County, UT",49019,4303
"Grand Forks County, ND",38035,31487
"Grand Isle County, VT",50013,2963
"Grand Traverse County, MI",26055,38529
"Granite County, MT",30039,1224
"Grant County, AR",5053,6802
"Grant County, IN",18053,26082
"Grant County, KS",20067,2456
"Grant County, KY",21081,9444
"Grant County, MN",27051,2649
"Grant County, ND",38037,1048
"Grant County, NE",31075,284
"Grant County, NM",35017,11811
"Grant County, OK",40053,1631
"Grant County, OR",41023,3468
"Grant County, SD",46051,3210
"Grant County, WA",53025,31094
"Grant County, WI",55043,19555
"Grant County, WV",54023,4873
"Grant Parish, LA",22043,6857
"Granville County, NC",37077,21934
"Gratiot County, MI",26057,15214
"Graves County, KY",21083,14305
"Gray County, KS",20069,2167
"Gray County, TX",48179,7678
"Grays Harbor County, WA",53027,29166
"Grayson County, KY",21085,9642
"Grayson County, TX",48181,48758
"Grayson County, VA",51077,6326
"Greeley County, KS",20071,526
"Greeley County, NE",31077,1039
"Green County, KY",21087,4378
"Green County, WI",55045,15168
"Green Lake County, WI",55047,7968
"Greenbrier County, WV",54025,15160
"Greene County, AL",1063,2761
"Greene County, AR",5055,17333
"Greene County, GA",13133,7326
"Greene County, IA",19073,3946
"Greene County, IL",17061,4632
"Greene County, IN",18055,12643
"Greene County, MO",29077,126963
"Greene County, MS",28041,3906
"Greene County, NC",37079,7207
"Greene County, NY",36039,16767
"Greene County, OH",39057,65943
"Greene County, PA",42059,14120
"Greene County, TN",47059,26708
"Greene County, VA",51079,7662
"Greenlee County, AZ",4011,3145
"Greensville County, VA",51081,3755
"Greenup County, KY",21089,13910
"Greenville County, SC",45045,198051
"Greenwood County, KS",20073,2725
"Greenwood County, SC",45047,27718
"Greer County, OK",40055,1973
"Gregg County, TX",48183,44988
"Gregory County, SD",46053,1770
"Grenada County, MS",28043,8884
"Griggs County, ND",38039,1099
"Grimes County, TX",48185,8859
"Grundy County, IA",19075,5112
"Grundy County, IL",17063,20026
"Grundy County, MO",29079,3817
"Grundy County, TN",47061,4561
"Guadalupe County, NM",35019,1527
"Guadalupe County, TX",48187,56792
"Guayama Municipio, PR",72057,13560
"Guayanilla Municipio, PR",72059,6407
"Guaynabo Municipio, PR",72061,27962
"Guernsey County, OH",39059,16379
"Guilford County, NC",37081,205455
"Gulf County, FL",12045,5747
"Gunnison County, CO",8051,6738
"Gurabo Municipio, PR",72063,14143
"Guthrie County, IA",19077,4359
"Guánica Municipio, PR",72055,5524
"Gwinnett County, GA",13135,299521
"Haakon County, SD",46055,859
"Habersham County, GA",13137,15129
"Haines Borough, AK",2100,899
"Hale County, AL",1065,5426
"Hale County, TX",48189,10619
"Halifax County, NC",37083,20723
"Halifax County, VA",51083,13933
"Hall County, GA",13139,65404
"Hall County, NE",31079,23171
"Hall County, TX",48191,1355
"Hamblen County, TN",47063,24125
"Hamilton County, FL",12047,4204
"Hamilton County, IA",19079,6193
"Hamilton County, IL",17065,3329
"Hamilton County, IN",18057,125070
"Hamilton County, KS",20075,794
"Hamilton County, NE",31081,3742
"Hamilton County, NY",36041,1010
"Hamilton County, OH",39061,344213
"Hamilton County, TN",47065,147183
"Hamilton County, TX",48193,2915
"Hamlin County, SD",46057,2273
"Hampden County, MA",25013,179658
"Hampshire County, MA",25015,58619
"Hampshire County, WV",54027,8902
"Hampton County, SC",45049,6591
"Hampton city, VA",51650,53870
"Hancock County, GA",13141,3107
"Hancock County, IA",19081,4820
"Hancock County, IL",17067,7068
"Hancock County, IN",18059,29497
"Hancock County, KY",21091,3353
"Hancock County, ME",23009,23146
"Hancock County, MS",28045,20597
"Hancock County, OH",39063,32190
"Hancock County, TN",47067,2763
"Hancock County, WV",54029,12352
"Hand County, SD",46059,1517
"Hanover County, VA",51085,39517
"Hansford County, TX",48195,1754
"Hanson County, SD",46061,1052
"Haralson County, GA",13143,11423
"Hardee County, FL",12049,7906
"Hardeman County, TN",47069,8922
"Hardeman County, TX",48197,1513
"Hardin County, IA",19083,7226
"Hardin County, IL",17069,1207
"Hardin County, KY",21093,41870
"Hardin County, OH",39065,11549
"Hardin County, TN",47071,10337
"Hardin County, TX",48199,20467
"Harding County, NM",35021,226
"Harding County, SD",46063,564
"Hardy County, WV",54031,5894
"Harford County, MD",24025,94293
"Harlan County, KY",21095,10948
"Harlan County, NE",31083,1499
"Harmon County, OK",40057,1121
"Harnett County, NC",37085,47100
"Harney County, OR",41025,3303
"Harper County, KS",20077,2159
"Harper County, OK",40059,1166
"Harris County, GA",13145,12439
"Harris County, TX",48201,1649238
"Harrison County, IA",19085,6079
"Harrison County, IN",18061,14377
"Harrison County, KY",21097,7236
"Harrison County, MO",29081,3401
"Harrison County, MS",28047,79711
"Harrison County, OH",39067,6153
"Harrison County, TX",48203,22883
"Harrison County, WV",54033,26939
"Harrisonburg city, VA",51660,16845
"Hart County, GA",13147,9802
"Hart County, KY",21099,7348
"Hartford County, CT",9003,349656
"Hartley County, TX",48205,1611
"Harvey County, KS",20079,13134
"Haskell County, KS",20081,1279
"Haskell County, OK",40061,4916
"Haskell County, TX",48207,2034
"Hatillo Municipio, PR",72065,14023
"Hawaii County, HI",15001,71567
"Hawkins County, TN",47073,23221
"Hayes County, NE",31085,358
"Hays County, TX",48209,79418
"Haywood County, NC",37087,26676
"Haywood County, TN",47075,7230
"Heard County, GA",13149,4594
"Hemphill County, TX",48211,1207
"Hempstead County, AR",5057,8238
"Henderson County, IL",17071,2902
"Henderson County, KY",21101,18354
"Henderson County, NC",37089,50304
"Henderson County, TN",47077,10630
"Henderson County, TX",48213,31439
"Hendricks County, IN",18063,60778
"Hendry County, FL",12051,12865
"Hennepin County, MN",27053,512469
"Henrico County, VA",51087,129188
"Henry County, AL",1067,6462
"Henry County, GA",13151,77869
"Henry County, IA",19087,7814
"Henry County, IL",17073,19619
"Henry County, IN",18065,18415
"Henry County, KY",21103,6014
"Henry County, MO",29083,9067
"Henry County, OH",39069,10972
"Henry County, TN",47079,13340
"Henry County, VA",51089,20636
"Herkimer County, NY",36043,23422
"Hernando County, FL",12053,77026
"Hertford County, NC",37091,9003
"Hettinger County, ND",38041,1058
"Hickman County, KY",21105,1724
"Hickman County, TN",47081,8560
"Hickory County, MO",29085,3924
"Hidalgo County, NM",35023,1632
"Hidalgo County, TX",48215,244949
"Highland County, OH",39071,16681
"Highland County, VA",51091,1116
"Highlands County, FL",12055,42100
"Hill County, MT",30041,6439
"Hill County, TX",48217,12875
"Hillsborough County, FL",12057,541822
"Hillsborough County, NH",33011,162536
"Hillsdale County, MI",26059,18109
"Hinds County, MS",28049,87910
"Hinsdale County, CO",8053,364
"Hitchcock County, NE",31087,1158
"Hocking County, OH",39073,11080
"Hockley County, TX",48219,7832
"Hodgeman County, KS",20083,731
"Hoke County, NC",37093,18231
"Holmes County, FL",12059,7240
"Holmes County, MS",28051,6080
"Holmes County, OH",39075,12158
"Holt County, MO",29087,1975
"Holt County, NE",31089,4430
"Honolulu County, HI",15003,313161
"Hood County, TX",48221,22726
"Hood River County, OR",41027,8775
"Hooker County, NE",31091,325
"Hoonah-Angoon Census Area, AK",2105,727
"Hopewell city, VA",51670,9418
"Hopkins County, KY",21107,18443
"Hopkins County, TX",48223,13482
"Hormigueros Municipio, PR",72067,6159
"Horry County, SC",45051,137525
"Hot Spring County, AR",5059,12712
"Hot Springs County, WY",56017,2129
"Houghton County, MI",26061,13069
"Houston County, AL",1069,39294
"Houston County, GA",13153,58312
"Houston County, MN",27055,8380
"Houston County, TN",47083,2671
"Houston County, TX",48225,8336
"Howard County, AR",5061,5161
"Howard County, IA",19089,3809
"Howard County, IN",18067,34649
"Howard County, MD",24027,116360
"Howard County, MO",29089,3356
"Howard County, NE",31093,2802
"Howard County, TX",48227,10912
"Howell County, MO",29091,15589
"Hubbard County, MN",27057,8634
"Hudson County, NJ",34017,260551
"Hudspeth County, TX",48229,926
"Huerfano County, CO",8055,3385
"Hughes County, OK",40063,3902
"Hughes County, SD",46065,7630
"Humacao Municipio, PR",72069,17076
"Humboldt County, CA",6023,54897
"Humboldt County, IA",19091,4183
"Humboldt County, NV",32013,6502
"Humphreys County, MS",28053,3265
"Humphreys County, TN",47085,6590
"Hunt County, TX",48231,33752
"Hunterdon County, NJ",34019,47085
"Huntingdon County, PA",42061,16452
"Huntington County, IN",18069,14693
"Huron County, MI",26063,13894
"Huron County, OH",39077,23016
"Hutchinson County, SD",46067,2852
"Hutchinson County, TX",48233,6229
"Hyde County, NC",37095,1757
"Hyde County, SD",46069,629
"Iberia Parish, LA",22045,25850
"Iberville Parish, LA",22047,10729
"Ida County, IA",19093,2946
"Idaho County, ID",16049,6338
"Imperial County, CA",6025,43109
"Independence County, AR",5063,14307
"Indian River County, FL",12061,58046
"Indiana County, PA",42063,33060
"Ingham County, MI",26065,112934
"Inyo County, CA",6027,8017
"Ionia County, MI",26067,23224
"Iosco County, MI",26069,11801
"Iowa County, IA",19095,6722
"Iowa County, WI",55049,9910
"Iredell County, NC",37097,68697
"Irion County, TX",48235,669
"Iron County, MI",26071,5166
"Iron County, MO",29093,4138
"Iron County, UT",49021,17670
"Iron County, WI",55051,2950
"Iroquois County, IL",17075,11659
"Irwin County, GA",13155,3351
"Isabela Municipio, PR",72071,14514
"Isabella County, MI",26073,24912
"Isanti County, MN",27059,15179
"Island County, WA",53029,35440
"Isle of Wight County, VA",51093,14908
"Issaquena County, MS",28055,502
"Itasca County, MN",27061,19727
"Itawamba County, MS",28057,8543
"Izard County, AR",5065,4516
"Jack County, TX",48237,3245
"Jackson County, AL",1071,20788
"Jackson County, AR",5067,5977
"Jackson County, CO",8057,528
"Jackson County, FL",12063,17443
"Jackson County, GA",13157,23808
"Jackson County, IA",19097,8081
"Jackson County, IL",17077,23868
"Jackson County, IN",18071,16797
"Jackson County, KS",20085,5505
"Jackson County, KY",21109,5402
"Jackson County, MI",26075,61876
"Jackson County, MN",27063,4437
"Jackson County, MO",29095,290170
"Jackson County, MS",28059,52723
"Jackson County, NC",37099,17207
"Jackson County, OH",39079,12599
"Jackson County, OK",40065,9442
"Jackson County, OR",41029,89949
"Jackson County, SD",46071,766
"Jackson County, TN",47087,4578
"Jackson County, TX",48239,5002
"Jackson County, WI",55053,8283
"Jackson County, WV",54035,11281
"Jackson Parish, LA",22049,5874
"James City County, VA",51095,29378
"Jasper County, GA",13159,5112
"Jasper County, IA",19099,14370
"Jasper County, IL",17079,3587
"Jasper County, IN",18073,12670
"Jasper County, MO",29097,45186
"Jasper County, MS",28061,6524
"Jasper County, SC",45053,10843
"Jasper County, TX",48241,13046
"Jay County, IN",18075,8183
"Jayuya Municipio, PR",72073,5014
"Jeff Davis County, GA",13161,5192
"Jeff Davis County, TX",48243,1068
"Jefferson County, AL",1073,259395
"Jefferson County, AR",5069,26024
"Jefferson County, CO",8059,235487
"Jefferson County, FL",12065,6005
"Jefferson County, GA",13163,5373
"Jefferson County, IA",19101,6694
"Jefferson County, ID",16051,9005
"Jefferson County, IL",17081,14859
"Jefferson County, IN",18077,12572
"Jefferson County, KS",20087,7624
"Jefferson County, KY",21111,312224
"Jefferson County, MO",29099,85390
"Jefferson County, MS",28063,2436
"Jefferson County, MT",30043,4472
"Jefferson County, NE",31095,3255
"Jefferson County, NY",36045,42042
"Jefferson County, OH",39081,26872
"Jefferson County, OK",40067,2299
"Jefferson County, OR",41031,8188
"Jefferson County, PA",42065,18397
"Jefferson County, TN",47089,20199
"Jefferson County, TX",48245,92688
"Jefferson County, WA",53031,15220
"Jefferson County, WI",55055,33082
"Jefferson County, WV",54037,21160
"Jefferson Davis County, MS",28065,4579
"Jefferson Davis Parish, LA",22053,11523
"Jefferson Parish, LA",22051,168474
"Jenkins County, GA",13165,3353
"Jennings County, IN",18079,10863
"Jerauld County, SD",46073,961
"Jerome County, ID",16053,8127
"Jersey County, IL",17083,8378
"Jessamine County, KY",21113,18857
"Jewell County, KS",20089,1344
"Jim Hogg County, TX",48247,1636
"Jim Wells County, TX",48249,12493
"Jo Daviess County, IL",17085,10066
"Johnson County, AR",5071,9453
"Johnson County, GA",13167,3449
"Johnson County, IA",19103,60696
"Johnson County, IL",17087,4267
"Johnson County, IN",18081,57944
"Johnson County, KS",20091,231630
"Johnson County, KY",21115,8261
"Johnson County, MO",29101,19740
"Johnson County, NE",31097,1766
"Johnson County, TN",47091,6702
"Johnson County, TX",48251,59036
"Johnson County, WY",56019,3973
"Johnston County, NC",37101,72088
"Johnston County, OK",40069,4365
"Jones County, GA",13169,10783
"Jones County, IA",19105,8147
"Jones County, MS",28067,24807
"Jones County, NC",37103,4043
"Jones County, SD",46075,391
"Jones County, TX",48253,5730
"Josephine County, OR",41033,36980
"Juab County, UT",49023,3571
"Juana Díaz Municipio, PR",72075,14788
"Judith Basin County, MT",30045,913
"Juncos Municipio, PR",72077,12307
"Juneau City and Borough, AK",2110,12771
"Juneau County, WI",55057,11168
"Juniata County, PA",42067,9341
"Kalamazoo County, MI",26077,103949
"Kalawao County, HI",15005,34
"Kalkaska County, MI",26079,7108
"Kanabec County, MN",27065,6558
"Kanawha County, WV",54039,76672
"Kandiyohi County, MN",27067,16856
"Kane County, IL",17089,181759
"Kane County, UT",49025,2515
"Kankakee County, IL",17091,39070
"Karnes County, TX",48255,4243
"Kauai County, HI",15007,22697
"Kaufman County, TX",48257,39068
"Kay County, OK",40071,17296
"Kearney County, NE",31099,2611
"Kearny County, KS",20093,1112
"Keith County, NE",31101,3826
"Kemper County, MS",28069,3676
"Kenai Peninsula Borough, AK",2122,21821
"Kendall County, IL",17093,41449
"Kendall County, TX",48259,14615
"Kenedy County, TX",48261,231
"Kennebec County, ME",23011,51849
"Kenosha County, WI",55059,64396
"Kent County, DE",10001,68090
"Kent County, MD",24029,8173
"Kent County, MI",26081,243858
"Kent County, RI",44003,69105
"Kent County, TX",48263,238
"Kenton County, KY",21117,64273
"Keokuk County, IA",19107,4419
"Kern County, CA",6029,274009
"Kerr County, TX",48265,21612
"Kershaw County, SC",45055,25352
"Ketchikan Gateway Borough, AK",2130,5438
"Kewaunee County, WI",55061,8362
"Keweenaw County, MI",26083,1107
"Keya Paha County, NE",31103,293
"Kidder County, ND",38043,1067
"Kimball County, NE",31105,1564
"Kimble County, TX",48267,1720
"King County, TX",48269,61
"King County, WA",53033,905237
"King George County, VA",51099,9598
"King William County, VA",51101,6146
"King and Queen County, VA",51097,2665
"Kingfisher County, OK",40073,5586
"Kingman County, KS",20095,3210
"Kings County, CA",6031,43825
"Kings County, NY",36047,964880
"Kingsbury County, SD",46077,2285
"Kinney County, TX",48271,1402
"Kiowa County, CO",8061,642
"Kiowa County, KS",20097,930
"Kiowa County, OK",40075,3442
"Kit Carson County, CO",8063,2989
"Kitsap County, WA",53035,105817
"Kittitas County, WA",53037,19012
"Kittson County, MN",27069,1839
"Klamath County, OR",41035,27864
"Kleberg County, TX",48273,10980
"Klickitat County, WA",53039,9265
"Knott County, KY",21119,6619
"Knox County, IL",17095,20257
"Knox County, IN",18083,14862
"Knox County, KY",21121,11800
"Knox County, ME",23013,17002
"Knox County, MO",29103,1383
"Knox County, NE",31107,3561
"Knox County, OH",39083,23514
"Knox County, TN",47093,188182
"Knox County, TX",48275,1310
"Kodiak Island Borough, AK",2150,4124
"Koochiching County, MN",27071,5347
"Kootenai County, ID",16055,64657
"Kosciusko County, IN",18085,31427
"Kossuth County, IA",19109,6606
"Kusilvak Census Area, AK",2158,1731
"La Crosse County, WI",55063,47837
"La Paz County, AZ",4012,8991
"La Plata County, CO",8067,21941
"La Salle County, TX",48283,2417
"LaGrange County, IN",18087,12512
"LaMoure County, ND",38045,1805
"LaPorte County, IN",18091,42782
"LaSalle County, IL",17099,44794
"LaSalle Parish, LA",22059,4432
"Labette County, KS",20099,7866
"Lac qui Parle County, MN",27073,3113
"Lackawanna County, PA",42069,87785
"Laclede County, MO",29105,14120
"Lafayette County, AR",5073,2717
"Lafayette County, FL",12067,1908
"Lafayette County, MO",29107,12821
"Lafayette County, MS",28071,20005
"Lafayette County, WI",55065,6736
"Lafayette Parish, LA",22055,92246
"Lafourche Parish, LA",22057,37264
"Lajas Municipio, PR",72079,7290
"Lake County, CA",6033,24942
"Lake County, CO",8065,3549
"Lake County, FL",12069,141004
"Lake County, IL",17097,246167
"Lake County, IN",18089,186289
"Lake County, MI",26085,4751
"Lake County, MN",27075,5177
"Lake County, MT",30047,11681
"Lake County, OH",39085,96371
"Lake County, OR",41037,3515
"Lake County, SD",46079,4667
"Lake County, TN",47095,2311
"Lake and Peninsula Borough, AK",2164,369
"Lake of the Woods County, MN",27077,1443
"Lamar County, AL",1075,5699
"Lamar County, GA",13171,6447
"Lamar County, MS",28073,22360
"Lamar County, TX",48277,19895
"Lamb County, TX",48279,4651
"Lamoille County, VT",50015,10805
"Lampasas County, TX",48281,7966
"Lancaster County, NE",31109,126844
"Lancaster County, PA",42071,203425
"Lancaster County, SC",45057,35849
"Lancaster County, VA",51103,5040
"Lander County, NV",32015,2197
"Lane County, KS",20101,748
"Lane County, OR",41039,154362
"Langlade County, WI",55067,8557
"Lanier County, GA",13173,3721
"Lapeer County, MI",26087,33927
"Laramie County, WY",56021,40715
"Lares Municipio, PR",72081,9839
"Larimer County, CO",8069,141950
"Larue County, KY",21123,5889
"Las Animas County, CO",8071,7089
"Las Marías Municipio, PR",72083,2528
"Las Piedras Municipio, PR",72085,12080
"Lassen County, CA",6035,9122
"Latah County, ID",16057,15693
"Latimer County, OK",40077,4025
"Lauderdale County, AL",1077,38183
"Lauderdale County, MS",28075,29607
"Lauderdale County, TN",47097,9635
"Laurel County, KY",21125,22111
"Laurens County, GA",13175,16805
"Laurens County, SC",45059,25528
"Lavaca County, TX",48285,7837
"Lawrence County, AL",1079,12157
"Lawrence County, AR",5075,6354
"Lawrence County, IL",17101,7085
"Lawrence County, IN",18093,18660
"Lawrence County, KY",21127,5754
"Lawrence County, MO",29109,14804
"Lawrence County, MS",28077,4846
"Lawrence County, OH",39087,23031
"Lawrence County, PA",42073,37223
"Lawrence County, SD",46081,11340
"Lawrence County, TN",47099,15903
"Le Flore County, OK",40079,18349
"Le Sueur County, MN",27079,10952
"Lea County, NM",35025,22872
"Leake County, MS",28079,7978
"Leavenworth County, KS",20103,27303
"Lebanon County, PA",42075,54000
"Lee County, AL",1081,61598
"Lee County, AR",5077,3049
"Lee County, FL",12071,286717
"Lee County, GA",13177,10458
"Lee County, IA",19111,13981
"Lee County, IL",17103,13726
"Lee County, KY",21129,2843
"Lee County, MS",28081,31971
"Lee County, NC",37105,22146
"Lee County, SC",45061,6408
"Lee County, TX",48287,6117
"Lee County, VA",51105,8950
"Leelanau County, MI",26089,9040
"Leflore County, MS",28083,9548
"Lehigh County, PA",42077,140077
"Lemhi County, ID",16059,3476
"Lenawee County, MI",26091,38298
"Lenoir County, NC",37107,22951
"Leon County, FL",12073,114684
"Leon County, TX",48289,6495
"Leslie County, KY",21131,4159
"Letcher County, KY",21133,9819
"Levy County, FL",12075,16973
"Lewis County, ID",16061,1649
"Lewis County, KY",21135,5312
"Lewis County, MO",29111,3690
"Lewis County, NY",36049,10013
"Lewis County, TN",47101,4728
"Lewis County, WA",53041,31026
"Lewis County, WV",54041,6564
"Lewis and Clark County, MT",30049,28484
"Lexington County, SC",45063,115931
"Lexington city, VA",51678,2349
"Liberty County, FL",12077,2418
"Liberty County, GA",13179,23713
"Liberty County, MT",30051,913
"Liberty County, TX",48291,27331
"Licking County, OH",39089,63438
"Limestone County, AL",1083,32080
"Limestone County, TX",48293,8431
"Lincoln County, AR",5079,3619
"Lincoln County, CO",8073,1416
"Lincoln County, GA",13181,3466
"Lincoln County, ID",16063,1763
"Lincoln County, KS",20105,1201
"Lincoln County, KY",21137,9589
"Lincoln County, ME",23015,15660
"Lincoln County, MN",27081,2450
"Lincoln County, MO",29113,19435
